"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"J.D. Martinez","Red Sox","BOS @ CWS","DH","4.67","1.35",".68",".26",".01",".39",".83","1.02",".01",".01",".55","1.02","10.49","16.41","12.26","6184"
"Mookie Betts","Red Sox","BOS @ CWS","RF","4.99","1.35",".73",".32",".02",".27",".86",".75",".17",".07",".70",".62","10.36","16.09","12.17","13611"
"Christian Yelich","Brewers","MIL @ WSH","LF","4.83","1.39",".85",".29",".02",".22",".85",".65",".09",".05",".57",".95","9.31","14.46","11.04","11477"
"Ronald Acuna","Braves","PIT @ ATL","LF","4.70","1.35",".80",".29",".02",".24",".77",".60",".16",".11",".41","1.02","9.01","13.98","10.79","18401"
"Bryce Harper","Nationals","MIL @ WSH","RF","4.53","1.00",".52",".20",".01",".27",".76",".71",".05",".03",".91","1.03","8.96","13.95","10.28","11579"
"Freddie Freeman","Braves","PIT @ ATL","1B","4.47","1.32",".77",".33",".03",".19",".77",".70",".04",".03",".58",".69","8.85","13.78","10.43","5361"
"Travis Shaw","Brewers","MIL @ WSH","3B","4.72","1.16",".65",".24",".01",".26",".77",".76",".03",".02",".62",".80","8.83","13.79","10.29","11982"
"Jose Ramirez","Indians","TB @ CLE","3B","4.44","1.15",".61",".30",".02",".22",".71",".71",".09",".05",".60",".53","8.73","13.60","10.22","13510"
"Alex Bregman","Astros","LAA @ HOU","3B","4.54","1.14",".65",".29",".03",".18",".72",".76",".08",".05",".71",".65","8.74","13.63","10.17","17678"
"Mike Moustakas","Brewers","MIL @ WSH","3B","4.50","1.17",".64",".24",".00",".29",".68",".89",".01",".01",".46",".64","8.66","13.58","10.14","4892"
"Curtis Granderson","Brewers","MIL @ WSH","LF","4.94","1.08",".57",".25",".02",".24",".81",".55",".05",".03",".78","1.04","8.66","13.42","10.05","4747"
"Jose Altuve","Astros","LAA @ HOU","2B","4.65","1.36",".94",".27",".03",".12",".78",".59",".14",".06",".53",".73","8.48","13.18","10.14","5417"
"Rhys Hoskins","Phillies","CHC @ PHI","LF","4.44","1.01",".48",".22",".01",".30",".76",".65",".04",".03",".65","1.04","8.56","13.31","9.92","16472"
"Trea Turner","Nationals","MIL @ WSH","SS","4.64","1.21",".83",".19",".04",".15",".76",".54",".28",".12",".43",".86","8.41","13.04","10.08","16252"
"Mitch Moreland","Red Sox","BOS @ CWS","1B","4.79","1.08",".59",".23",".02",".25",".76",".76",".01",".01",".57",".93","8.39","13.12","9.75","3086"
"Francisco Lindor","Indians","TB @ CLE","SS","4.66","1.21",".68",".29",".02",".22",".72",".62",".09",".04",".46",".67","8.33","12.96","9.86","12916"
"Xander Bogaerts","Red Sox","BOS @ CWS","SS","4.90","1.21",".75",".26",".02",".18",".77",".66",".06",".04",".53",".80","8.28","12.90","9.75","12161"
"Matt Carpenter","Cardinals","CIN @ STL","3B","4.55","1.15",".56",".31",".02",".26",".72",".57",".01",".01",".57",".87","8.31","12.89","9.75","8090"
"Eric Thames","Brewers","MIL @ WSH","1B","4.61",".95",".48",".20",".02",".25",".67",".75",".05",".03",".68","1.37","8.26","12.90","9.52","3711"
"Nolan Arenado","Rockies","COL @ SD","3B","4.57","1.17",".67",".24",".02",".24",".67",".71",".02",".02",".46",".74","8.18","12.76","9.64","9777"
"Charlie Blackmon","Rockies","COL @ SD","CF","4.79","1.27",".78",".22",".05",".21",".69",".52",".10",".05",".44",".83","8.14","12.61","9.77","7859"
"George Springer","Astros","LAA @ HOU","CF","4.78","1.10",".67",".22",".02",".19",".77",".58",".07",".04",".69","1.03","8.22","12.77","9.60","12856"
"Anthony Rendon","Nationals","MIL @ WSH","3B","4.43","1.18",".71",".28",".01",".18",".67",".77",".04",".02",".51",".64","8.09","12.66","9.50","12861"
"Mike Trout","Angels","LAA @ HOU","CF","4.43",".96",".53",".18",".04",".21",".60",".56",".11",".05",".77","1.27","7.98","12.37","9.30","10155"
"Juan Soto","Nationals","MIL @ WSH","LF","4.33",".99",".60",".20",".02",".18",".64",".67",".06",".04",".79",".89","7.93","12.35","9.17","20123"
"Miguel Andujar","Yankees","DET @ NYY","3B","4.37","1.24",".72",".28",".01",".23",".63",".75",".04",".03",".22",".74","7.76","12.15","9.27","15878"
"Andrew McCutchen","Yankees","DET @ NYY","RF","4.59","1.07",".64",".21",".01",".21",".70",".56",".06",".03",".61","1.03","7.85","12.19","9.19","9847"
"Gary Sanchez","Yankees","DET @ NYY","C","4.26",".97",".49",".18",".00",".30",".65",".75",".02",".01",".43",".97","7.83","12.25","9.12","11442"
"Nelson Cruz","Mariners","SEA @ OAK","DH","4.46","1.07",".61",".19",".00",".27",".59",".76",".01",".01",".42",".90","7.72","12.08","9.08","2434"
"Whit Merrifield","Royals","BAL @ KC","2B","4.64","1.31",".89",".29",".04",".10",".59",".49",".18",".09",".39",".61","7.59","11.75","9.22","11281"
"Carlos Correa","Astros","LAA @ HOU","SS","4.43","1.01",".61",".21",".02",".17",".63",".76",".03",".02",".61","1.13","7.66","11.99","8.89","14162"
"Michael Brantley","Indians","TB @ CLE","LF","4.55","1.28",".84",".29",".01",".14",".70",".56",".07",".04",".38",".44","7.57","11.77","9.06","4106"
"Shin-Soo Choo","Rangers","MIN @ TEX","DH","4.72","1.14",".76",".22",".01",".15",".69",".51",".06",".03",".67","1.05","7.63","11.84","8.99","3174"
"Aaron Hicks","Yankees","DET @ NYY","CF","4.47",".98",".60",".17",".01",".20",".67",".56",".09",".06",".64",".89","7.64","11.88","8.93","5297"
"Roman Quinn","Phillies","CHC @ PHI","RF","4.55","1.24",".84",".21",".08",".12",".60",".40",".24",".14",".33",".88","7.50","11.58","9.17","13546"
"Adam Eaton","Nationals","MIL @ WSH","LF","4.76","1.26",".87",".24",".04",".11",".68",".44",".09",".06",".57",".79","7.55","11.68","9.05","11205"
"Starling Marte","Pirates","PIT @ ATL","CF","4.78","1.24",".84",".22",".04",".14",".59",".46",".20",".10",".35",".90","7.49","11.58","9.10","9241"
"Trevor Story","Rockies","COL @ SD","SS","4.47","1.12",".63",".26",".04",".19",".56",".70",".07",".03",".33","1.16","7.51","11.72","8.93","12564"
"Willians Astudillo","Twins","MIN @ TEX","C","4.33","1.18",".72",".22",".02",".23",".58",".76",".05",".04",".18",".24","7.47","11.69","8.94","15608"
"Joey Votto","Reds","CIN @ STL","1B","4.54","1.12",".75",".23",".01",".13",".65",".50",".02",".01",".83",".68","7.56","11.72","8.84","4314"
"Cedric Mullins II","Orioles","BAL @ KC","OF","4.88","1.24",".81",".25",".07",".11",".61",".52",".12",".08",".39",".73","7.44","11.55","8.99","17929"
"Elvis Andrus","Rangers","MIN @ TEX","SS","4.50","1.31",".86",".31",".04",".10",".59",".61",".11",".07",".31",".60","7.42","11.56","8.98","8709"
"Cody Bellinger","Dodgers","ARI @ LAD","1B","4.21","1.01",".54",".21",".03",".24",".59",".67",".04",".02",".43","1.03","7.48","11.68","8.80","15998"
"Tyler White","Astros","LAA @ HOU","DH","4.33",".95",".56",".19",".02",".19",".65",".72",".03",".02",".60","1.03","7.51","11.76","8.70","15564"
"Rougned Odor","Rangers","MIN @ TEX","","4.62","1.08",".66",".22",".03",".18",".66",".58",".11",".07",".38","1.10","7.44","11.59","8.84","12282"
"Yonder Alonso","Indians","TB @ CLE","1B","4.25","1.04",".61",".21",".00",".21",".60",".75",".01",".01",".44",".84","7.43","11.64","8.70","2530"
"Mark Reynolds","Nationals","MIL @ WSH","1B","4.23",".96",".56",".15",".01",".24",".55",".77",".01",".01",".53","1.22","7.41","11.61","8.63","7619"
"Jonathan Villar","Orioles","BAL @ KC","2B","4.65","1.21",".88",".21",".03",".09",".55",".53",".20",".09",".43","1.05","7.33","11.37","8.87","10071"
"Jorge Polanco","Twins","MIN @ TEX","SS","4.66","1.18",".78",".25",".04",".12",".59",".62",".08",".05",".42",".72","7.35","11.45","8.78","13152"
"Khris Davis","Athletics","SEA @ OAK","DH","4.27",".94",".48",".20",".01",".26",".59",".72",".01",".01",".43","1.09","7.39","11.57","8.62","9112"
