"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Marlins","MIA @ COL","RF","4.96","1.31",".64",".25",".01",".41","1.06",".97",".04",".02",".78","1.19","11.38","17.76","13.14","4949"
"Mike Trout","Angels","ANA @ CHA","CF","4.85","1.22",".63",".21",".02",".36",".99",".83",".16",".06",".91","1.05","11.22","17.44","12.98","10155"
"Charlie Blackmon","Rockies","MIA @ COL","CF","4.92","1.46",".91",".24",".09",".22","1.00",".75",".25",".10",".60",".56","10.78","16.75","12.80","7859"
"Nolan Arenado","Rockies","MIA @ COL","3B","4.59","1.35",".75",".30",".05",".26",".86","1.06",".04",".02",".49",".54","10.01","15.72","11.71","9777"
"Marcell Ozuna","Marlins","MIA @ COL","LF","4.76","1.37",".85",".25",".03",".25",".86",".97",".03",".02",".52",".96","9.63","15.11","11.31","10324"
"Carlos Gonzalez","Rockies","MIA @ COL","RF","4.70","1.31",".78",".29",".01",".23",".90",".90",".04",".01",".66",".71","9.66","15.12","11.24","7287"
"Christian Yelich","Marlins","MIA @ COL","CF","4.87","1.33",".88",".27",".03",".15",".86",".75",".10",".05",".76",".82","9.37","14.60","10.98","11477"
"Paul Goldschmidt","Diamondbacks","SFN @ ARI","1B","4.45","1.17",".65",".26",".02",".23",".80",".71",".13",".04",".68",".92","9.22","14.35","10.77","9218"
"Dee Gordon","Marlins","MIA @ COL","2B","5.08","1.46","1.14",".19",".10",".03",".82",".48",".45",".17",".39",".67","9.04","13.97","11.08","8203"
"Justin Upton","Angels","ANA @ CHA","LF","4.76","1.08",".58",".20",".00",".30",".76",".84",".08",".04",".59","1.41","9.08","14.19","10.54","5222"
"Freddie Freeman","Braves","ATL @ NYN","1B","4.64","1.11",".60",".25",".01",".25",".75",".68",".03",".01",".87",".81","9.00","13.99","10.40","5361"
"Justin Bour","Marlins","MIA @ COL","1B","4.65","1.16",".71",".21",".01",".24",".78",".92",".01",".01",".63",".87","8.91","13.98","10.34","9744"
"J.D. Martinez","Diamondbacks","SFN @ ARI","RF","4.35","1.14",".60",".24",".02",".28",".74",".89",".02",".01",".45","1.09","8.79","13.78","10.26","6184"
"Trevor Story","Rockies","MIA @ COL","SS","4.36","1.10",".61",".25",".03",".21",".76",".80",".13",".06",".54","1.10","8.79","13.74","10.26","12564"
"Mookie Betts","Red Sox","TOR @ BOS","RF","4.42","1.24",".75",".31",".02",".16",".71",".87",".13",".06",".47",".39","8.74","13.68","10.28","13611"
"DJ LeMahieu","Rockies","MIA @ COL","2B","4.81","1.46","1.10",".25",".04",".08",".85",".65",".14",".07",".49",".51","8.58","13.37","10.31","9874"
"Albert Pujols","Angels","ANA @ CHA","DH","4.64","1.15",".69",".17",".00",".29",".70",".91",".03",".01",".44",".69","8.63","13.54","10.11","1177"
