"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Yankees","TEX @ NYY","DH","4.53","1.33",".66",".23",".00",".43",".91",".97",".02",".01",".43",".89","10.44","16.33","12.23","4949"
"Mookie Betts","Red Sox","BOS @ TOR","RF","4.91","1.35",".73",".34",".03",".24",".79",".66",".16",".07",".56",".61","9.63","14.94","11.42","13611"
"J.D. Martinez","Red Sox","BOS @ TOR","DH","4.58","1.26",".63",".28",".02",".34",".77",".94",".01",".01",".46","1.06","9.55","14.95","11.18","6184"
"Manny Machado","Dodgers","LAD @ COL","SS","4.83","1.37",".79",".28",".02",".28",".85",".72",".05",".03",".46",".64","9.31","14.50","11.03","11493"
"Brian Dozier","Dodgers","LAD @ COL","2B","4.94","1.21",".63",".26",".03",".29",".84",".64",".09",".04",".54",".97","9.18","14.26","10.79","9810"
"Charlie Blackmon","Rockies","LAD @ COL","CF","4.64","1.37",".79",".21",".08",".28",".78",".62",".09",".05",".37",".90","9.05","14.05","10.87","7859"
"Nolan Arenado","Rockies","LAD @ COL","3B","4.33","1.21",".64",".26",".02",".30",".74",".86",".02",".02",".39",".81","8.85","13.86","10.40","9777"
"Justin Turner","Dodgers","LAD @ COL","3B","4.72","1.27",".74",".29",".01",".23",".74",".72",".03",".02",".57",".63","8.69","13.55","10.23","5235"
"Matt Kemp","Dodgers","LAD @ COL","LF","4.62","1.27",".73",".26",".01",".27",".71",".85",".01",".01",".36",".95","8.59","13.45","10.14","5631"
"Jesus Aguilar","Brewers","SD @ MIL","1B","4.32","1.14",".59",".22",".01",".33",".70",".82",".01",".00",".34","1.03","8.49","13.28","9.98","11342"
"Trevor Story","Rockies","LAD @ COL","SS","4.23","1.18",".60",".28",".04",".25",".64",".78",".06",".04",".26","1.18","8.22","12.85","9.76","12564"
"Greg Bird","Yankees","TEX @ NYY","1B","4.23","1.04",".52",".22",".01",".29",".68",".78",".01",".01",".46",".76","8.21","12.84","9.56","14131"
"Jose Ramirez","Indians","MIN @ CLE","3B","4.35","1.10",".60",".29",".03",".19",".66",".66",".10",".05",".59",".61","8.21","12.77","9.61","13510"
"Carlos Gonzalez","Rockies","LAD @ COL","RF","4.42","1.24",".70",".29",".02",".24",".72",".71",".03",".02",".31",".94","8.14","12.71","9.67","7287"
"Steve Pearce","Red Sox","BOS @ TOR","LF","4.69","1.17",".68",".27",".01",".21",".74",".72",".02",".01",".49",".81","8.14","12.72","9.55","9957"
