"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ronald Acuna","Braves","PHI @ ATL","LF","4.66","1.23",".70",".25",".03",".25",".70",".59",".16",".11",".48","1.14","8.72","13.52","10.38","18401"
"Jose Ramirez","Indians","CWS @ CLE","3B","4.49","1.12",".58",".29",".03",".23",".71",".72",".09",".05",".60",".51","8.73","13.59","10.19","13510"
"Anthony Rendon","Nationals","NYM @ WSH","3B","4.31","1.22",".69",".31",".01",".21",".71",".80",".03",".02",".50",".51","8.52","13.33","10.00","12861"
"Trea Turner","Nationals","NYM @ WSH","SS","4.50","1.25",".86",".21",".03",".15",".75",".52",".30",".12",".40",".73","8.45","13.08","10.17","16252"
"Francisco Lindor","Indians","CWS @ CLE","SS","4.71","1.19",".65",".27",".02",".25",".73",".64",".08",".05",".43",".62","8.41","13.08","9.95","12916"
"Ryan Zimmerman","Nationals","NYM @ WSH","1B","4.11","1.16",".62",".26",".01",".29",".64",".88",".01",".01",".35",".70","8.37","13.12","9.83","4220"
"Freddie Freeman","Braves","PHI @ ATL","1B","4.43","1.20",".69",".29",".02",".20",".70",".66",".04",".03",".60",".79","8.36","13.02","9.82","5361"
"Mike Trout","Angels","LAA @ OAK","CF","4.54","1.06",".62",".21",".04",".19",".65",".55",".12",".05",".84",".86","8.39","12.99","9.80","10155"
"Rhys Hoskins","Phillies","PHI @ ATL","LF","4.68","1.04",".54",".24",".01",".26",".70",".67",".04",".02",".57","1.02","8.19","12.76","9.54","16472"
"Bryce Harper","Nationals","NYM @ WSH","RF","4.39",".97",".54",".18",".01",".23",".72",".63",".05",".03",".77","1.02","8.18","12.74","9.44","11579"
"Daniel Palka","White Sox","CWS @ CLE","DH","4.45","1.13",".58",".20",".02",".34",".63",".74",".04",".03",".17","1.35","8.01","12.51","9.54","14897"
"Christin Stewart","Tigers","KC @ DET","OF","4.44","1.07",".63",".18",".03",".23",".73",".60",".03",".02",".57",".84","7.92","12.32","9.27","17714"
"Edwin Encarnacion","Indians","CWS @ CLE","DH","4.39",".93",".49",".16",".00",".28",".65",".78",".01",".00",".58",".92","7.92","12.40","9.15","2151"
"Michael Brantley","Indians","CWS @ CLE","LF","4.60","1.29",".83",".29",".01",".15",".71",".57",".07",".04",".41",".44","7.79","12.11","9.31","4106"
"Ji-Man Choi","Rays","TB @ TOR","1B","4.61","1.04",".56",".27",".01",".20",".62",".66",".04",".02",".55","1.07","7.73","12.05","9.03","5452"
"J.D. Martinez","Red Sox","BOS @ NYY","DH","4.45","1.11",".61",".21",".01",".28",".58",".70",".01",".01",".30","1.32","7.60","11.87","9.02","6184"
"Adalberto Mondesi","Royals","KC @ DET","SS","4.54","1.14",".70",".20",".07",".17",".57",".55",".23",".11",".19","1.17","7.53","11.68","9.14","13769"
"Scott Schebler","Reds","CIN @ MIA","RF","4.84","1.08",".62",".23",".04",".20",".64",".54",".05",".03",".55",".97","7.59","11.79","8.96","12225"
"Joey Votto","Reds","CIN @ MIA","1B","4.62","1.05",".72",".19",".01",".13",".65",".49",".02",".01","1.00",".62","7.66","11.86","8.87","4314"
"Brandon Lowe","Rays","TB @ TOR","2b","4.30","1.00",".52",".23",".03",".22",".60",".67",".06",".04",".42","1.08","7.52","11.73","8.83","18882"
"Nicholas Castellanos","Tigers","KC @ DET","RF","4.34","1.23",".73",".27",".05",".18",".61",".61",".02",".02",".34",".79","7.46","11.62","8.94","11737"
"Whit Merrifield","Royals","KC @ DET","2B","4.65","1.25",".82",".26",".04",".13",".57",".44",".17",".10",".35",".71","7.35","11.36","8.94","11281"
"Aaron Judge","Yankees","BOS @ NYY","RF","4.49",".91",".53",".15",".00",".23",".61",".57",".04",".04",".69","1.53","7.47","11.61","8.66","15640"
