"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Freddie Freeman","Braves","PHI @ ATL","1B","4.44","1.17",".59",".28",".02",".27",".76",".73",".04",".03",".74",".84","9.24","14.37","10.74","5361"
"Rhys Hoskins","Phillies","PHI @ ATL","LF","4.51","1.04",".51",".21",".01",".30",".72",".83",".04",".03",".73",".93","9.09","14.19","10.48","16472"
"Mike Trout","Angels","BOS @ LAA","CF","4.41","1.13",".64",".19",".03",".27",".73",".61",".12",".06",".63",".81","8.74","13.56","10.28","10155"
"Khris Davis","Athletics","CWS @ OAK","DH","4.46",".93",".45",".19",".01",".27",".73",".85",".01",".01",".74","1.01","8.61","13.48","9.83","9112"
"Matt Joyce","Athletics","CWS @ OAK","LF","4.80",".98",".52",".24",".01",".21",".77",".64",".03",".02",".96",".73","8.56","13.32","9.79","3353"
"Matt Olson","Athletics","CWS @ OAK","1B","4.35",".89",".43",".17",".01",".27",".72",".79",".02",".01",".80","1.04","8.50","13.29","9.69","14344"
"Eric Thames","Brewers","CIN @ MIL","1B","4.62",".95",".44",".20",".03",".27",".75",".56",".06",".03",".75","1.14","8.40","13.03","9.70","3711"
"Ozzie Albies","Braves","PHI @ ATL","2B","4.55","1.19",".71",".24",".07",".17",".72",".58",".14",".08",".33",".83","8.04","12.49","9.62","16556"
"Christian Yelich","Brewers","CIN @ MIL","LF","4.51","1.13",".69",".25",".02",".17",".73",".53",".08",".04",".66",".77","8.03","12.45","9.43","11477"
"Cody Bellinger","Dodgers","LAD @ SD","1B","4.51",".99",".54",".17",".02",".26",".64",".69",".05",".03",".61","1.15","8.03","12.52","9.35","15998"
"Scott Kingery","Phillies","PHI @ ATL","2B","4.73","1.22",".76",".25",".02",".19",".67",".64",".14",".07",".28","1.00","7.92","12.34","9.49","17975"
"Paul Goldschmidt","Diamondbacks","SF @ ARI","1B","4.41","1.07",".62",".24",".02",".20",".63",".66",".07",".03",".63",".99","7.97","12.41","9.32","9218"
"Matt Chapman","Athletics","CWS @ OAK","3B","4.25",".90",".44",".20",".03",".23",".65",".74",".04",".03",".66",".96","7.95","12.42","9.15","16505"
"J.D. Martinez","Red Sox","BOS @ LAA","DH","4.51","1.09",".60",".21",".01",".27",".60",".70",".02",".01",".45","1.21","7.85","12.25","9.24","6184"
"Andrew McCutchen","Giants","SF @ ARI","RF","4.61","1.01",".56",".24",".02",".20",".66",".61",".05",".03",".70","1.25","7.91","12.29","9.18","9847"
"Joey Votto","Reds","CIN @ MIL","1B","4.54","1.09",".71",".20",".01",".17",".63",".59",".02",".01",".83",".52","7.86","12.21","9.16","4314"
"Manny Machado","Orioles","BAL @ DET","SS","4.63","1.20",".76",".23",".01",".19",".62",".68",".04",".03",".44",".64","7.71","12.04","9.16","11493"
"Travis Shaw","Brewers","CIN @ MIL","3B","4.30","1.02",".55",".22",".02",".23",".59",".76",".02",".02",".51",".79","7.76","12.13","9.05","11982"
"Mookie Betts","Red Sox","BOS @ LAA","RF","4.72","1.13",".69",".25",".02",".17",".64",".48",".14",".07",".55",".58","7.73","11.97","9.19","13611"
"Buster Posey","Giants","SF @ ARI","C","4.51","1.18",".74",".28",".01",".15",".60",".66",".03",".02",".61",".72","7.73","12.04","9.09","9166"
"Trey Mancini","Orioles","BAL @ DET","LF","4.84","1.30",".85",".23",".05",".17",".67",".55",".02",".01",".44",".99","7.65","11.88","9.18","15149"
"Domingo Santana","Brewers","CIN @ MIL","RF","4.40","1.02",".61",".20",".01",".20",".63",".64",".05",".03",".63","1.18","7.68","11.97","8.96","10348"
"Charlie Blackmon","Rockies","COL @ PIT","CF","4.56","1.12",".72",".20",".04",".17",".57",".60",".10",".05",".56",".75","7.64","11.87","9.06","7859"
"Trea Turner","Nationals","WSH @ NYM","SS","4.74","1.10",".75",".19",".04",".12",".57",".38",".32",".13",".50","1.01","7.62","11.74","9.19","16252"
"Nelson Cruz","Mariners","HOU @ SEA","DH","4.25",".98",".53",".16",".00",".29",".61",".73",".01",".01",".44","1.20","7.58","11.86","8.86","2434"
"George Springer","Astros","HOU @ SEA","CF","4.79","1.14",".70",".21",".01",".22",".64",".54",".06",".03",".43",".91","7.51","11.66","8.93","12856"
"David Peralta","Diamondbacks","SF @ ARI","LF","4.62","1.27",".79",".29",".05",".13",".66",".47",".06",".04",".44",".74","7.48","11.59","8.99","2136"
"Joey Gallo","Rangers","TEX @ TB","1B","4.33",".79",".34",".14",".01",".30",".56",".71",".03",".02",".58","1.61","7.56","11.80","8.70","14128"
"Marcus Semien","Athletics","CWS @ OAK","SS","4.69","1.00",".63",".22",".02",".14",".67",".61",".08",".04",".63",".84","7.49","11.68","8.73","12533"
"Michael Conforto","Mets","WSH @ NYM","CF","4.54",".95",".52",".18",".02",".22",".67",".46",".03",".03",".72","1.14","7.52","11.65","8.75","16376"
"Curtis Granderson","Blue Jays","KC @ TOR","LF","4.54",".88",".42",".23",".03",".21",".64",".48",".05",".03",".75",".98","7.53","11.67","8.70","4747"
"A.J. Pollock","Diamondbacks","SF @ ARI","CF","4.31","1.08",".61",".29",".05",".13",".53",".68",".12",".06",".38",".69","7.41","11.56","8.79","9256"
"Odubel Herrera","Phillies","PHI @ ATL","CF","4.62","1.24",".82",".27",".03",".11",".61",".57",".08",".04",".39",".84","7.31","11.38","8.78","11476"
"Bryce Harper","Nationals","WSH @ NYM","RF","4.52",".91",".55",".15",".01",".20",".59",".56",".06",".03",".76","1.04","7.40","11.50","8.58","11579"
"Starling Marte","Pirates","COL @ PIT","CF","4.40","1.15",".83",".18",".05",".10",".54",".52",".19",".09",".46",".68","7.27","11.28","8.77","9241"
"Tommy Pham","Cardinals","STL @ CHC","CF","4.66",".96",".61",".18",".03",".13",".60",".42",".17",".09",".74","1.19","7.37","11.38","8.65","2967"
"Yoenis Cespedes","Mets","WSH @ NYM","LF","4.43","1.02",".58",".18",".02",".25",".64",".59",".02",".01",".42","1.06","7.31","11.39","8.61","13110"
"Jed Lowrie","Athletics","CWS @ OAK","2B","4.57","1.06",".68",".26",".02",".10",".65",".61",".01",".01",".74",".54","7.34","11.44","8.53","4418"
"Jose Altuve","Astros","HOU @ SEA","2B","4.56","1.27",".89",".24",".02",".12",".58",".52",".12",".05",".36",".60","7.21","11.20","8.74","5417"
"Carlos Correa","Astros","HOU @ SEA","SS","4.45","1.12",".69",".23",".01",".19",".57",".66",".04",".02",".37",".91","7.20","11.25","8.55","14162"
"Francisco Lindor","Indians","CLE @ MIN","SS","4.84","1.08",".69",".22",".03",".15",".60",".49",".11",".06",".49",".81","7.19","11.16","8.56","12916"
"Hanley Ramirez","Red Sox","BOS @ LAA","1B","4.61","1.02",".64",".18",".00",".20",".63",".56",".05",".03",".48",".94","7.16","11.15","8.43","8001"
"Jay Bruce","Mets","WSH @ NYM","RF","4.23",".89",".45",".19",".02",".23",".56",".65",".02",".01",".52",".88","7.18","11.21","8.35","9892"
"Corey Seager","Dodgers","LAD @ SD","SS","4.73","1.08",".70",".22",".01",".15",".64",".49",".03",".02",".59",".97","7.16","11.11","8.44","13624"
"Kurt Suzuki","Braves","PHI @ ATL","C","4.25","1.07",".65",".22",".00",".19",".58",".71",".01",".01",".39",".54","7.12","11.16","8.39","8259"
"Cesar Hernandez","Phillies","PHI @ ATL","2B","4.84","1.18",".85",".21",".05",".07",".62",".39",".11",".07",".61",".85","7.12","11.00","8.54","10556"
"Evan Longoria","Giants","SF @ ARI","3B","4.41","1.01",".55",".27",".02",".18",".53",".71",".02",".02",".44","1.09","7.12","11.15","8.35","9368"
"Nick Williams","Phillies","PHI @ ATL","RF","4.42","1.10",".64",".23",".04",".18",".53",".67",".04",".03",".31","1.17","7.07","11.05","8.42","14330"
"Brian Dozier","Twins","CLE @ MIN","2B","4.56",".97",".54",".20",".02",".21",".57",".53",".07",".04",".47","1.23","7.11","11.05","8.39","9810"
"Leonys Martin","Tigers","BAL @ DET","CF","4.63","1.10",".75",".19",".05",".11",".58",".45",".18",".10",".42","1.10","7.05","10.91","8.49","11846"
"Adam Jones","Orioles","BAL @ DET","CF","4.53","1.18",".82",".18",".02",".17",".56",".69",".01",".01",".31",".79","7.02","10.99","8.41","6368"
"Jose Ramirez","Indians","CLE @ MIN","3B","4.61","1.05",".64",".26",".04",".11",".55",".52",".10",".06",".56",".64","7.09","11.00","8.39","13510"
"Chris Taylor","Dodgers","LAD @ SD","CF","4.85","1.09",".71",".22",".04",".12",".58",".42",".13",".07",".53","1.15","7.07","10.94","8.45","13757"
"Ryan Zimmerman","Nationals","WSH @ NYM","1B","4.43",".99",".56",".21",".01",".22",".54",".68",".01",".01",".43","1.04","7.06","11.04","8.28","4220"
"Justin Upton","Angels","BOS @ LAA","LF","4.32","1.00",".57",".20",".01",".23",".53",".63",".06",".03",".35","1.17","7.04","10.98","8.33","5222"
