"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ronald Acuna","Braves","ATL @ WSH","LF","4.82","1.38",".79",".26",".02",".31",".78",".69",".16",".11",".30","1.20","9.43","14.64","11.30","18401"
"Mookie Betts","Red Sox","BOS @ TOR","RF","4.98","1.33",".80",".31",".03",".20",".80",".64",".17",".08",".60",".69","9.35","14.51","11.08","13611"
"Bryce Harper","Nationals","ATL @ WSH","RF","4.47","1.01",".53",".19",".01",".28",".83",".82",".04",".03",".90","1.07","9.41","14.69","10.76","11579"
"Anthony Rizzo","Cubs","CHC @ KC","1B","5.09","1.37",".84",".28",".03",".22",".83",".69",".05",".04",".62",".54","9.22","14.35","10.89","3473"
"Giancarlo Stanton","Yankees","NYY @ CWS","DH","4.79","1.14",".59",".19",".01",".35",".78",".81",".02",".01",".56","1.29","9.22","14.38","10.74","4949"
"J.D. Martinez","Red Sox","BOS @ TOR","DH","4.65","1.25",".68",".28",".02",".27",".73",".91",".01",".01",".46","1.18","9.02","14.14","10.58","6184"
"Javier Baez","Cubs","CHC @ KC","2B","4.76","1.43",".88",".28",".05",".21",".71",".91",".08",".05",".23","1.02","8.89","13.93","10.66","12979"
"Nelson Cruz","Mariners","SEA @ TEX","DH","4.60","1.20",".71",".19",".01",".29",".74",".87",".01",".01",".52",".74","8.86","13.88","10.37","2434"
"Trea Turner","Nationals","ATL @ WSH","SS","4.70","1.26",".87",".20",".04",".16",".79",".59",".27",".12",".45",".93","8.76","13.59","10.49","16252"
"Andrew Benintendi","Red Sox","BOS @ TOR","LF","4.88","1.29",".81",".30",".05",".14",".78",".64",".11",".07",".62",".79","8.75","13.61","10.35","17901"
"Anthony Rendon","Nationals","ATL @ WSH","3B","4.58","1.25",".74",".30",".01",".20",".81",".75",".03",".03",".57",".70","8.72","13.63","10.22","12861"
"Corey Dickerson","Pirates","PIT @ COL","LF","4.85","1.48",".83",".34",".08",".23",".74",".60",".04",".03",".24",".86","8.62","13.39","10.45","10762"
"Juan Soto","Nationals","ATL @ WSH","LF","4.37","1.13",".69",".22",".02",".20",".74",".83",".05",".03",".69",".82","8.72","13.65","10.13","20123"
"Freddie Freeman","Braves","ATL @ WSH","1B","4.59","1.37",".82",".28",".02",".25",".70",".69",".04",".03",".36",".90","8.57","13.34","10.24","5361"
