hou;50.9249;sea;40.7692;0.3399;1
chc;49.9377;fla;46.1578;0.2254;-1
los;48.4799;col;45.287;0.2876;1
nyy;47.9767;tex;35.4041;0.2799;-1
ari;47.537;phi;39.6898;0.3983;1
tam;47.4452;bal;41.0539;0.8162;-1
tor;47.0815;kan;43.5231;-0.1682;1
det;46.3499;sdg;44.2303;-0.1364;1
nym;46.133;sfo;44.5449;-0.6375;1
stl;45.7654;pit;43.7852;0.4182;1
oak;45.7521;chw;44.6011;0.2743;1
atl;45.0223;mil;41.4301;0.0933001;-1
was;43.82;cin;40.6546;-0.0215001;-1
bos;41.9732;ana;38.3774;800.858;-1
min;41.9005;cle;39.9143;0.205;1
