20160420;ari;sfo;2.25;-0.74;0.39;-4.02;-0.0700001;17.34;16;-1;
20160420;tex;hou;-4.64;0.35;0.12;1.1;-0.25;18.34;10.68;1;
20160420;sea;cle;1.46;0.0800002;-0.23;-6.71;0.2;12;11.34;-1;
20160420;stl;chc;-0.0899999;1.58;1.46;0.51;0.0500001;13;12.68;1;
20160420;chw;laa;-1.22;-0.0799999;0.0999999;-0.68;-0.52;23;17.68;1;
20160420;cin;col;0.29;-0.43;-0.2;0.69;0.24;16.68;18.34;1;
20160420;mil;min;-2.27;-1.57;0.67;0.99;-0.22;19.34;10.68;1;
20160420;bal;tor;-3;-0.72;-1.79;1.3;-0.41;12;14.68;1;
20160420;phi;nym;2.17;1.06;1.04;-0.65;-0.16;14.68;12.68;1;
20160420;lad;atl;-4.32;-3.05;-0.77;-1.33;-0.72;13.34;17;-1;
20160420;was;mia;-4.95;-0.37;0.56;-1.01;-0.42;14.68;11.34;-1;
20160421;chc;cin;-0.81;-1.73;-2.05;0.0300007;-0.25;22;17.68;-1;
20160421;oak;nyy;-1.76;-0.03;0.43;7.24;-0.0899999;13;10.68;-1;
20160421;lad;atl;-2.97;-2.42;-1.71;1.59;-0.4;22;13.68;-1;
20160421;pit;sdg;0.17;-2.82;-0.55;1.29;-0.03;10.68;20;-1;
20160421;min;mil;-5.79;-1.56;-0.48;-1.09;-0.62;14;13;-1;
20160421;kan;det;-1.26;-2.27;-1.55;3.07;-0.84;17.68;9.68;1;
20160421;tex;hou;1.09;1.77;2.74;-2.49;0.15;11;20.68;1;
20160421;mia;was;3.15;-0.45;1.83;-2.7;1.3;10;20;1;
20160421;laa;chw;-3.59;1.42;1.14;-3.59;0.0599999;10.34;11.34;-1;
20160421;bal;tor;2.34;0;-0.0700002;0.41;0.0699999;12.34;13;1;
20160421;sea;cle;-1.41;-2.9;-1.59;5.79;0.00999999;10;10.68;-1;
20160421;tam;bos;-2.09;0.48;1.17;-3.86;-0.04;18.68;18;-1;
20160421;ari;sfo;5.15;6.21;2.24;-1.63;0.74;12.68;21.34;-1;
20160422;kan;bal;2.27;2.92;0.26;1.53;0.48;13.68;16;1;
20160422;phi;mil;-13.61;-3.75;-5.65;10.89;-3.66;19;2.34;-1;
20160422;bos;hou;-4.26;0.47;-0.71;0;-0.71;12.68;12.68;-1;
20160422;was;min;-2.88;-2.36;-1.26;3.22;-0.76;13;17.68;1;
20160422;sfo;mia;-2.38;-0.12;-0.24;0.42;-0.2;19.34;10.34;1;
20160422;oak;tor;0.98;-0.2;0.72;-1.09;0.39;19.34;20;-1;
20160422;chw;tex;-0.89;-4.09;-2.45;4.75;-0.23;17.68;18.34;1;
20160422;chc;cin;-2.55;-4.94;-2.41;5.23;-0.4;20.34;5.68;-1;
20160422;cle;det;-5.36;-1.45;-2.14;2.53;-0.79;5;16.34;-1;
20160422;sdg;stl;-2.87;-1.91;-2.45;5.14;-0.43;15;16.34;1;
20160422;nym;atl;-0.52;-1.04;-0.21;-2.08;-0.11;17.34;17.34;-1;
20160422;sea;laa;3.66;0.96;-0.79;-0.0900002;0.15;18;10.68;-1;
20160422;pit;ari;0.75;0.33;0.11;1.09;-0.22;18;19.68;-1;
20160422;nyy;tam;2.11;1.18;1.46;-3.56;0.52;10.68;18.34;1;
20160423;was;min;-0.71;1.4;1.79;-3.59;0.5;17;18.34;1;
20160423;cle;det;1.56;-1.98;-0.91;0.38;-0.11;19;15.68;-1;
20160423;lad;col;-2.32;-0.68;-0.0700002;1.52;-0.19;19;19.34;-1;
20160423;nym;atl;4.89;3.04;1.87;-0.74;0.71;8.68;11.34;-1;
20160423;laa;sea;1.61;0.71;-0.26;-1.29;-0.3;20.68;18;1;
20160423;ari;pit;3.64;1.29;0.16;-0.0699997;0.36;10.68;15;1;
20160423;hou;bos;0.74;0.73;-1.68;-0.38;-0.22;16.68;15.68;1;
20160423;sfo;mia;5.22;1.69;1.81;-8.15;0.93;14;16.68;1;
20160423;chw;tex;0.73;-1.9;-0.45;0.28;0.36;13.34;18;1;
20160423;bal;kan;-1.25;-0.42;-0.0900002;-4.24;-0.41;8;11.34;-1;
20160423;cin;chc;-0.96;1.13;1.45;-1.97;-0.34;13.34;19.68;1;
20160423;phi;mil;1.61;-0.0699999;-0.19;1.51;-0.0899999;16.34;16;-1;
20160424;chc;cin;-11.15;-4.69;-1.03;-4.65;-1.44;18;6.68;-1;
20160424;tam;nyy;-2.38;-1.2;-0.74;1.69;-0.76;21.68;17;-1;
20160424;kan;bal;-2.92;-0.43;-0.0500002;3.01;0.14;16;11;1;
20160424;mil;phi;6.46;4.12;2.03;-3.57;1.02;18.34;19;1;
20160424;chw;tex;-2.21;-0.22;0.64;-2.16;-0.48;18.34;16.68;1;
20160424;sea;laa;3.34;-2.09;-1.47;2.73;0.54;15.68;15.34;-1;
20160424;pit;ari;2.15;2.99;0.33;1.63;0.52;15.34;18.34;-1;
20160424;stl;sdg;0.2;-1.19;-0.32;-2.07;-0.15;17.34;16.34;-1;
20160424;lad;col;-0.94;1.61;0.61;-1.46;0.22;16;15;-1;
20160424;cle;det;-4.36;1.07;-1.98;1.23;-0.38;19.34;11.34;-1;
20160424;mia;sfo;-1.85;-0.45;-2.08;5.47;-0.18;13.68;15.34;-1;
20160425;sea;hou;-4.44;-2.32;-1.1;2.14;-0.44;18;16.68;1;
20160425;pit;col;3.91;2.3;2.09;-2.42;1.6;13.68;24.34;-1;
20160425;sfo;sdg;1.87;2.04;0.26;-1.39;0.31;23;17.68;1;
20160425;bos;atl;-0.98;-0.23;-1.86;4.32;-0.46;19.34;22.34;-1;
20160425;laa;kan;1.65;0.8;-0.39;-0.0699997;0.39;24;20;1;
20160425;nym;cin;-2.19;-2.17;-2.08;4.56;-0.38;20;23.34;1;
20160425;mia;lad;2.26;0.46;-0.5;0.97;0.14;18.34;17;-1;
20160425;det;oak;-2.04;-1.41;0.65;-0.66;0.18;19.34;17.68;1;
20160425;min;cle;4.4;2.78;-0.03;-4.25;0.44;15.34;18.34;1;
20160425;ari;stl;2.55;1.94;1.35;-3.45;0.52;24;20;1;
20160426;bos;atl;3.96;-0.99;-1.55;6.21;0.45;21.68;20.34;-1;
20160426;sfo;sdg;-0.66;-2.14;-0.74;0.41;-0.14;28.34;26;1;
20160426;oak;det;-0.36;-3.45;-2.85;8.83;-0.65;19;14.68;-1;
20160426;chw;tor;-4.3;-0.71;-0.84;-0.47;-1.02;30;20.68;-1;
20160426;sea;hou;1.57;1.88;0.46;3.14;0.27;15.34;26.68;1;
20160426;stl;ari;-5.89;-4.56;-1.93;1.06;-0.98;20;14.68;-1;
20160426;tex;nyy;-1.68;1.11;2.59;0.41;-0.32;17;16.68;1;
20160426;min;cle;-4.87;-4.37;-1.51;0.36;-0.9;20.34;14.34;1;
20160426;pit;col;-7.17;-3.27;-0.61;-3.3;-0.94;16.68;17.34;-1;
20160426;phi;was;-3.39;-2.36;-1.85;5.22;-0.48;19.34;25;-1;
20160426;laa;kan;2.03;2.94;2.84;-4.4;0.22;17.34;24.68;1;
20160426;mia;lad;3.3;1.9;2.74;-1.8;0.96;15;30;-1;
20160426;chc;mil;1.04;-3.14;-1.57;0.92;-0.00999999;18;26;1;
20160426;nym;cin;-0.85;-2.51;-1.94;0.72;-0.18;18.68;21.68;1;
20160426;tam;bal;0.26;-0.94;0.76;-1.46;-0.31;22.68;17;1;
20160427;chw;tor;-0.68;-0.84;-0.67;-1.97;-0.35;24.68;18;-1;
20160427;bal;tam;0.82;-0.11;0.99;-2;0.13;18.34;25;-1;
20160427;phi;was;3.79;2.05;0.26;0;0.48;19;19;-1;
20160427;bos;atl;-5.35;-2.26;-0.61;0.74;-0.45;19.34;21.34;1;
20160427;nym;cin;0.18;-4.06;-1.06;2.26;0.26;22.34;10.68;1;
20160427;det;oak;3.06;1.26;0.39;1.44;0.12;23.34;26.34;1;
20160427;sfo;sdg;-1.29;-0.13;-0.02;-1.81;0.02;27;21;1;
20160427;tex;nyy;-0.78;0.93;-0.34;-1.74;-0.45;24;15.34;1;
20160427;stl;ari;3.74;-0.47;1.98;-2.33;0.5;22.34;25.68;-1;
20160427;hou;sea;3.75;-1.33;0.26;1.33;0.75;16.68;26;-1;
20160427;laa;kan;-4.72;-2.08;0.88;-1.27;-0.19;16;19.68;1;
20160427;pit;col;-4.76;-0.0500002;3.15;-11.44;-0.51;23.34;5;-1;
20160428;ari;stl;3.12;2.25;-0.4;3.68;-0.11;16.68;22.34;1;
