sea;119a;Paxton, James;3.930000;3.120000;3.530000;8.220000;73.339996;1.390000;-999.000000;-999.000000;
nyy;121w;Tanaka, Masahiro;3.400000;3.470000;3.690000;7.180000;140.340027;1.120000;-999.000000;-999.000000;
bal;110u;Bundy, Dylan;3.050000;4.030000;4.350000;8.540000;59.000000;1.290000;-999.000000;-999.000000;
det;1058;Sanchez, Anibal;6.260000;5.090000;4.840000;7.870000;100.679993;1.630000;-999.000000;-999.000000;
was;118k;Roark, Tanner;3.020000;3.530000;3.910000;7.490000;143.000000;1.170000;-999.000000;-999.000000;
tex;110a;Darvish, Yu;3.290000;3.300000;2.620000;12.680000;38.339996;1.120000;-999.000000;-999.000000;
chc;125a;Hendricks, Kyle;2.220000;3.340000;3.760000;7.730000;125.679993;1.060000;-999.000000;-999.000000;
sfo;1921;Bumgarner, Madison;2.250000;3.140000;3.420000;10.060000;155.679993;1.030000;-999.000000;-999.000000;
kan;119j;Ventura, Yordano;4.830000;4.880000;4.730000;6.640000;119.339996;1.380000;-999.000000;-999.000000;
cle;1942;Carrasco, Carlos;3.120000;4.310000;3.770000;8.210000;95.339996;1.100000;-999.000000;-999.000000;
atl;125g;Foltynewicz, Mike;4.600000;4.810000;4.330000;7.710000;72.339996;1.300000;-999.000000;-999.000000;
cin;113p;Straily, Dan;3.800000;4.550000;5.050000;7.100000;128.000000;1.140000;-999.000000;-999.000000;
hou;133l;Musgrove, Joe;0.000000;0.150000;0.920000;16.620001;4.340000;0.460000;-999.000000;-999.000000;
phi;131e;Eickhoff, Jerad;3.680000;3.790000;4.110000;7.640000;132.000000;1.210000;-999.000000;-999.000000;
ari;127c;Bradley, Archie;4.750000;4.530000;4.400000;8.440000;85.339996;1.520000;-999.000000;-999.000000;
min;117k;Gibson, Kyle;4.940000;4.480000;4.190000;6.480000;82.000000;1.450000;-999.000000;-999.000000;
nym;121n;deGrom, Jacob;2.410000;3.000000;3.350000;8.800000;119.679993;1.060000;-999.000000;-999.000000;
oak;124d;Manaea, Sean;4.680000;4.220000;4.120000;7.700000;92.339996;1.310000;-999.000000;-999.000000;
pit;110g;Cole, Gerrit;2.730000;2.880000;3.910000;7.510000;92.339996;1.280000;-999.000000;-999.000000;
laa;119i;Shoemaker, Matt;4.080000;3.530000;3.890000;8.590000;125.679993;1.260000;-999.000000;-999.000000;
tam;126q;Andriese, Matt;2.720000;3.040000;4.020000;6.750000;76.000000;1.030000;-999.000000;-999.000000;
tor;123u;Stroman, Marcus;4.740000;3.830000;3.430000;7.210000;142.340027;1.290000;-999.000000;-999.000000;
bos;1916;Price, David;4.300000;3.300000;3.200000;9.320000;150.679993;1.250000;-999.000000;-999.000000;
mia;129j;Conley, Adam;3.410000;3.890000;4.750000;8.600000;121.339996;1.350000;-999.000000;-999.000000;
sdg;117x;Cosart, Jarred;5.090000;4.930000;5.440000;5.480000;23.000000;1.830000;-999.000000;-999.000000;
stl;1628;Wainwright, Adam;4.140000;3.340000;3.920000;7.160000;137.000000;1.290000;-999.000000;-999.000000;
mil;118z;Nelson, Jimmy;3.740000;4.800000;4.790000;6.840000;127.679993;1.450000;-999.000000;-999.000000;
lad;1286;McCarthy, Brandon;2.760000;3.080000;3.670000;10.740000;29.340002;1.020000;-999.000000;-999.000000;
col;130k;Gray, Jon;3.770000;3.730000;3.640000;9.420000;114.679993;1.130000;-999.000000;-999.000000;
chw;1450;Shields, James;4.920000;5.130000;5.090000;6.120000;128.000000;1.510000;-999.000000;-999.000000;
