20170510;138;-159;-159;-10;-0.065;-0.55;
20170510;-169;149;10;59.1716; 0.121;1.65;
20170510;-152;131;10;65.7895; 0.039;-0.04;
20170510;-204;177;10;49.0196; 0.063;0.45;
20170509;-192;167;10;52.0833; 0.062;1.28;
20170509;-196;169;10;51.0204; 0.05;0.3;
20170511;-152;134;10;-10;-0.099;-1.36;
20170510;-222;188;10;45.045; 0.072;1.27;
20170510;-200;171;10;50; 0.039;0.94;
20170512;142;-164;-164;-10;-0.037;-0.15;
20170513;-179;154;10;55.8659; 0.082;1.4;
20170513;140;-161;-161;140;0.022;0.41;
20170513;-256;221;10;39.0625; 0.028;0.12;
20170512;-159;136;10;-10;-0.152;-1.9;
20170512;-204;175;10;49.0196; 0.013;0.11;
20170514;-217;186;10;46.083; 0.086;1.41;
20170514;131;-152;-152;-10;-0.099;-1.3;
20170514;-204;175;10;49.0196; 0.009;0.42;
20170514;149;-172;-172;-10;-0.035;-0.2;
20170514;163;-189;-189;-10;-0.086;-1.41;
20170514;-169;147;10;-10;-0.028;-0.5;
20170513;143;-164;-164;-10;-0.097;-1.36;
20170515;-161;141;10;-10;-0.017;-0.28;
20170516;-167;144;10;59.8802; 0.057;0.73;
20170516;-154;134;10;64.9351; 0.175;2.42;
20170516;140;-161;-161;140;0.014;0.24;
20170515;-204;175;10;-10;-0.005;-0.4;
20170517;-182;158;10;54.9451; 0.119;1.46;
20170517;147;-167;-167;147;0.024;0.28;
20170517;-159;138;10;62.8931; 0.072;0.96;
20170516;137;-156;-156;-10;-0.127;-1.52;
20170516;-182;159;10;54.9451; 0.00199997;-0.34;
20170516;-169;147;10;59.1716; 0.045;-0.15;
20170516;-200;173;10;-10;-0.058;-0.24;
20170516;-182;158;10;-10;-0.058;-0.0900002;
20170518;-208;181;10;-10;-0.047;-0.0799999;
20170517;-179;154;10;55.8659; 0.00200003;-0.31;
20170517;-189;163;10;-10;-0.047;-0.13;
20170519;148;-172;-172;-10;-0.102;-1.34;
20170519;-167;146;10;59.8802; 0.046;0.93;
20170519;135;-156;-156;-10;-0.029;-0.11;
20170519;149;-172;-172;149;0.061;0.34;
20170518;-200;173;10;50; 0.053;0.8;
20170518;-172;149;10;58.1395; 0.063;0.54;
20170520;-159;138;10;62.8931; 0.044;0.58;
20170520;189;-222;-222;-10;-0.089;-1.24;
20170519;-238;204;10;42.0168; 0.058;0.9;
20170519;-154;134;10;64.9351; 0.114;1.39;
20170519;165;-192;-192;-10;-0.016;-0.52;
20170521;-196;171;10;51.0204; 0.054;0.88;
20170521;-213;179;10;-10;-0.066;-0.4;
20170521;-175;152;10;57.1429; 0.11;1.02;
20170521;-189;163;10;52.9101; 0.075;1.14;
20170520;154;-179;-179;-10;-0.061;-1;
